_start,_end,_type,link,status,start_date,end_date,sourceID
227093,50788,intermediary_of,intermediary of,,,,Panama Papers
227093,50793,intermediary_of,intermediary of,,,,Panama Papers
227093,50794,intermediary_of,intermediary of,,,,Panama Papers
227912,52415,intermediary_of,intermediary of,,,,Panama Papers
227093,50800,intermediary_of,intermediary of,,,,Panama Papers
222156,52328,intermediary_of,intermediary of,,,,Panama Papers
219462,52099,intermediary_of,intermediary of,,,,Panama Papers
224354,53106,intermediary_of,intermediary of,,,,Panama Papers
225985,49900,intermediary_of,intermediary of,,,,Panama Papers
221410,50405,intermediary_of,intermediary of,,,,Panama Papers
215875,51688,intermediary_of,intermediary of,,,,Panama Papers
228588,51721,intermediary_of,intermediary of,,,,Panama Papers
226936,50877,intermediary_of,intermediary of,,,,Panama Papers
214494,51703,intermediary_of,intermediary of,,,,Panama Papers
228588,54074,intermediary_of,intermediary of,,,,Panama Papers
216319,54085,intermediary_of,intermediary of,,,,Panama Papers
215875,53093,intermediary_of,intermediary of,,,,Panama Papers
222155,52394,intermediary_of,intermediary of,,,,Panama Papers
215875,51441,intermediary_of,intermediary of,,,,Panama Papers
214687,51812,intermediary_of,intermediary of,,,,Panama Papers
215875,52188,intermediary_of,intermediary of,,,,Panama Papers
228588,52135,intermediary_of,intermediary of,,,,Panama Papers
216319,52547,intermediary_of,intermediary of,,,,Panama Papers
219625,53976,intermediary_of,intermediary of,,,,Panama Papers
222156,51229,intermediary_of,intermediary of,,,,Panama Papers
221410,50884,intermediary_of,intermediary of,,,,Panama Papers
228588,52752,intermediary_of,intermediary of,,,,Panama Papers
218046,52604,intermediary_of,intermediary of,,,,Panama Papers
215875,53353,intermediary_of,intermediary of,,,,Panama Papers
218887,53313,intermediary_of,intermediary of,,,,Panama Papers
225286,53425,intermediary_of,intermediary of,,,,Panama Papers
222156,53574,intermediary_of,intermediary of,,,,Panama Papers
223991,53631,intermediary_of,intermediary of,,,,Panama Papers
219111,53521,intermediary_of,intermediary of,,,,Panama Papers
222156,54705,intermediary_of,intermediary of,,,,Panama Papers
220649,54718,intermediary_of,intermediary of,,,,Panama Papers
218887,52202,intermediary_of,intermediary of,,,,Panama Papers
215875,53216,intermediary_of,intermediary of,,,,Panama Papers
218887,53375,intermediary_of,intermediary of,,,,Panama Papers
218887,52788,intermediary_of,intermediary of,,,,Panama Papers
222156,53637,intermediary_of,intermediary of,,,,Panama Papers
219462,55202,intermediary_of,intermediary of,,,,Panama Papers
228588,54669,intermediary_of,intermediary of,,,,Panama Papers
223895,54678,intermediary_of,intermediary of,,,,Panama Papers
223895,55311,intermediary_of,intermediary of,,,,Panama Papers
222156,55397,intermediary_of,intermediary of,,,,Panama Papers
217376,52516,intermediary_of,intermediary of,,,,Panama Papers
222156,56241,intermediary_of,intermediary of,,,,Panama Papers
215875,55473,intermediary_of,intermediary of,,,,Panama Papers
221940,56375,intermediary_of,intermediary of,,,,Panama Papers
222156,56127,intermediary_of,intermediary of,,,,Panama Papers
222156,56131,intermediary_of,intermediary of,,,,Panama Papers
222156,56862,intermediary_of,intermediary of,,,,Panama Papers
222156,56863,intermediary_of,intermediary of,,,,Panama Papers
227093,57116,intermediary_of,intermediary of,,,,Panama Papers
227093,55465,intermediary_of,intermediary of,,,,Panama Papers
222156,53136,intermediary_of,intermediary of,,,,Panama Papers
222156,54185,intermediary_of,intermediary of,,,,Panama Papers
