geonameid,name,country,subcountry,country_code
2077963,Albany,Australia,Western Australia,AUS
2078025,Adelaide,Australia,South Australia,AUS
2142457,Yarraville,Australia,Victoria,AUS
2143255,Wollert,Australia,Victoria,AUS
2143285,Wodonga,Australia,Victoria,AUS
2143887,Wheelers Hill,Australia,Victoria,AUS
2143973,Westmead,Australia,New South Wales,AUS
2144095,Werribee,Australia,Victoria,AUS
2144502,Warwick,Australia,Queensland,AUS
2144528,Warrnambool,Australia,Victoria,AUS
2144604,Warragul,Australia,Victoria,AUS
2144728,Wantirna South,Australia,Victoria,AUS
2144764,Wangaratta,Australia,Victoria,AUS
2145092,Wahroonga,Australia,New South Wales,AUS
2145461,Upper Coomera,Australia,Queensland,AUS
2145990,Truganina,Australia,Victoria,AUS
2146108,Traralgon,Australia,Victoria,AUS
2146142,Townsville,Australia,Queensland,AUS
2146268,Toowoomba,Australia,Queensland,AUS
2146793,Thornbury,Australia,Victoria,AUS
2146827,Thomastown,Australia,Victoria,AUS
2147140,Templestowe,Australia,Victoria,AUS
2147357,Tarneit,Australia,Victoria,AUS
2147381,Taree,Australia,New South Wales,AUS
2147497,Tamworth,Australia,New South Wales,AUS
2147714,Sydney,Australia,New South Wales,AUS
2147821,Surry Hills,Australia,New South Wales,AUS
2147849,Surfers Paradise,Australia,Queensland,AUS
2147914,Sunbury,Australia,Victoria,AUS
2148088,Strathfield,Australia,New South Wales,AUS
2148591,Springvale,Australia,Victoria,AUS
2148876,South Yarra,Australia,Victoria,AUS
2148928,Southport,Australia,Queensland,AUS
2149645,Shepparton,Australia,Victoria,AUS
2149847,Seven Hills,Australia,New South Wales,AUS
2149975,Seaford,Australia,Victoria,AUS
2150660,Saint Kilda,Australia,Victoria,AUS
2150669,Saint Ives,Australia,New South Wales,AUS
2150717,Saint Albans,Australia,Victoria,AUS
2150767,Ryde,Australia,New South Wales,AUS
2150894,Rowville,Australia,Victoria,AUS
2151437,Rockhampton,Australia,Queensland,AUS
2151443,Rockdale,Australia,New South Wales,AUS
2151576,Ringwood,Australia,Victoria,AUS
2151649,Richmond,Australia,Victoria,AUS
2151716,Reservoir,Australia,Victoria,AUS
2152329,Quakers Hill,Australia,New South Wales,AUS
2152558,Preston,Australia,Victoria,AUS
2152658,Port Melbourne,Australia,Victoria,AUS
2152659,Port Macquarie,Australia,New South Wales,AUS
2152819,Point Cook,Australia,Victoria,AUS
2153720,Pascoe Vale,Australia,Victoria,AUS
2153925,Palm Beach,Australia,Queensland,AUS
2153953,Pakenham,Australia,Victoria,AUS
2154219,Orange,Australia,New South Wales,AUS
2154481,Officer,Australia,Victoria,AUS
2154912,North Melbourne,Australia,Victoria,AUS
2155001,Northcote,Australia,Victoria,AUS
2155204,Noble Park,Australia,Victoria,AUS
2155472,Newcastle,Australia,New South Wales,AUS
2155542,Nerang,Australia,Queensland,AUS
2155718,Narre Warren,Australia,Victoria,AUS
2155787,Narangba,Australia,Queensland,AUS
2156340,Mulgrave,Australia,Victoria,AUS
2156492,Mount Waverley,Australia,Victoria,AUS
2156578,Mount Martha,Australia,Victoria,AUS
2156643,Mount Gambier,Australia,South Australia,AUS
2156663,Mount Eliza,Australia,Victoria,AUS
2156671,Mount Druitt,Australia,New South Wales,AUS
2156813,Mosman,Australia,New South Wales,AUS
2156878,Mornington,Australia,Victoria,AUS
2156934,Morayfield,Australia,Queensland,AUS
2156942,South Morang,Australia,Victoria,AUS
2156977,Mooroolbark,Australia,Victoria,AUS
2157056,Moonee Ponds,Australia,Victoria,AUS
2157410,Mitcham,Australia,Victoria,AUS
2157495,Miranda,Australia,New South Wales,AUS
2157635,Mill Park,Australia,Victoria,AUS
2157698,Mildura,Australia,Victoria,AUS
2157995,Merrylands,Australia,New South Wales,AUS
2158051,Mernda,Australia,Victoria,AUS
2158177,Melbourne,Australia,Victoria,AUS
2158538,Mascot,Australia,New South Wales,AUS
2158562,Maryborough,Australia,Queensland,AUS
2158626,Marrickville,Australia,New South Wales,AUS
2158651,Maroubra,Australia,New South Wales,AUS
2158867,Manly,Australia,New South Wales,AUS
2159045,Maitland,Australia,New South Wales,AUS
2159220,Mackay,Australia,Queensland,AUS
2159851,Liverpool,Australia,New South Wales,AUS
2160188,Lilydale,Australia,Victoria,AUS
2160258,Lidcombe,Australia,New South Wales,AUS
2160517,Launceston,Australia,Tasmania,AUS
2160560,Lara,Australia,Victoria,AUS
2160582,Langwarrin,Australia,Victoria,AUS
2160706,Lalor,Australia,Victoria,AUS
2160744,Lakemba,Australia,New South Wales,AUS
2161185,Kogarah,Australia,New South Wales,AUS
2161532,Keysborough,Australia,Victoria,AUS
2161540,Kew,Australia,Victoria,AUS
2161608,Kensington,Australia,New South Wales,AUS
2163137,Hornsby,Australia,New South Wales,AUS
2163355,Hobart,Australia,Tasmania,AUS
2163776,Hawthorn South,Australia,Victoria,AUS
2163782,Hawthorn,Australia,Victoria,AUS
2163990,Hampton Park,Australia,Victoria,AUS
2164422,Griffith,Australia,New South Wales,AUS
