_id,node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
629696,200368,Freightmart Ltd.,,,XXX,Undetermined,Standard Company under IBC Act,"International Business Company Formation Inc. 101 Main Street Suite One Tappan, New York  10983 USA RT BVI",,03-APR-2002,,,01-NOV-2008,Dead,Commonwealth Trust Limited,489864,VGB;USA,British Virgin Islands;United States,Offshore Leaks,The Offshore Leaks data is current through 2010,
619204,200371,BRAG Investments Corp.,,,XXX,Undetermined,Standard Company under IBC Act,"Corporate Creations International Inc. 11380 Prosperity Farms Road, #221E Palm Beach Gardens, FL 33410 USA RT BVI",,03-APR-2002,,,01-NOV-2003,Dead,Commonwealth Trust Limited,489557,USA;XXX,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
595080,167622,Pearl River Group Limited,,,COOK,Cook Islands,Standard International Company,,,28-AUG-1997,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,0,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
594944,167636,Red Rocket Investment Company Limited,,,COOK,Cook Islands,Standard International Company,,,,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
570263,134881,Equity Universal Corporation,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,26-JUL-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,455919,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
657178,167649,DNR Partners,,,COOK,Cook Islands,Standard International Company,,,03-NOV-1995,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,495,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
606187,167653,Manrite Investment Pte Limited,,,COOK,Cook Islands,Nominee Only Entity,,,03-DEC-1993,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,0,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
651159,233208,Barca Holdings Group Limited,,,XXX,Undetermined,Standard Company under IBC Act,"William A. Devendorf Eagle Comtronics Inc. 7665 Henry Clay Blvd. Liverpool, New York, 13088",,24-SEP-1996,,,01-MAY-2008,Dead,Commonwealth Trust Limited,200250,USA;VGB,United States;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
606191,167693,OPECO Vietnam Ltd,,,COOK,Cook Islands,Standard International Company,"Attorneys at Law 3104 Edloe Street, Suite 204 Houston, Texas 77027 U.S.A.",,26-JAN-1996,,,,Active,Portcullis Trustnet,3096/96,USA,United States,Offshore Leaks,The Offshore Leaks data is current through 2010,
630815,200462,ASAF Holdings Ltd.,,,XXX,Undetermined,Standard Company under IBC Act,"International Business Company Formation Inc. 101 Main Street Suite One Tappan, New York  10983 USA RT BVI",,22-FEB-2001,,,01-NOV-2004,Dead,Commonwealth Trust Limited,433382,USA;XXX,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
